Assembly_barcode	year_range	year_range_colour	Disease	Disease_color	Isolate source	isolate_source_colour	Capsule_color	Best match locus	Continent	continent_color
ESC_LC7124AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_LC7144AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	NA	NA
ESC_LC7170AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	Asia	#1f78b4
ESC_LC7175AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#FB9A99	KL55	Asia	#1f78b4
ESC_LC7178AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#d37505	KL114	Asia	#1f78b4
ESC_LC7179AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_LC7180AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#005A9C	KL115	Asia	#1f78b4
ESC_LC7182AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_LC7183AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_MC2913AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	Asia	#1f78b4
ESC_LC7187AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_LC7189AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_LC7193AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	NA	NA
ESC_LC7207AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	NA	NA
ESC_LC7217AA_AS	2015-2019	#fdae61	UTI/urine	#ffff33	Human	#fdc086	#abf186	KL14	NA	NA
ESC_LC7236AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#afafaf	KL137	NA	NA
ESC_LC7798AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_LC7918AA_AS	2020-2024	#d73027	other	#afafaf			black	KL124	North America	#33a02c
ESC_LC7961AA_AS	2020-2024	#d73027	other	#afafaf			#afafaf	Unassigned	Europe	#a6cee3
ESC_LC8909AA_AS	NA	white	other	#afafaf			#7e9000	KL142	Europe	#a6cee3
ESC_LC9044AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_LC9114AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_LC9205AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_LC9211AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_MC0185AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC0188AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC0213AA_AS	NA	white	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC0214AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC0218AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC0220AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC0263AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_MC0380AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MC0405AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC0483AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#904f02	KL158	North America	#33a02c
ESC_MC0928AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#005A9C	KL115	North America	#33a02c
ESC_MC0929AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_MC0931AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC0995AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC0996AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_MC1587AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC1633AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC1644AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#fd088e	KL54	North America	#33a02c
ESC_MC1645AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC1650AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC1651AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC1653AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC1749AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC1803AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC2104AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC3476AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC3494AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#abf186	KL14	North America	#33a02c
ESC_MC3546AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	KL137	North America	#33a02c
ESC_MC3584AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC3782AA_AS	2015-2019	#fdae61	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	Europe	#a6cee3
ESC_MC4519AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC4520AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC4521AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC4523AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_MC4624AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC4881AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC4963AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#6A3D9A	KL20	Africa	#b2df8a
ESC_MC4969AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#FF7F00	KL35	Africa	#b2df8a
ESC_MC5597AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC6192AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#4695f0	KL103	Africa	#b2df8a
ESC_MC6197AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#4695f0	KL103	Africa	#b2df8a
ESC_MC6307AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC6314AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC6317AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#35978f	KL48	North America	#33a02c
ESC_MC6319AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_MC6441AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#CAB2D6	KL123	North America	#33a02c
ESC_MC6449AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MC6474AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC6475AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC6530AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#29c722	KL127	North America	#33a02c
ESC_MC6531AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC7007AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC7086AA_AS	NA	white	other	#afafaf			#afafaf	Unassigned	NA	NA
ESC_MC7134AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC7137AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC7450AA_AS	2015-2019	#fdae61	other	#afafaf			#FF7F00	KL35	Asia	#1f78b4
ESC_MC7478AA_AS	2010-2014	#1f78b4	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_MC7533AA_AS	2010-2014	#1f78b4	other	#afafaf			#6A3D9A	KL20	Asia	#1f78b4
ESC_MC7602AA_AS	2015-2019	#fdae61	other	#afafaf			#FF7F00	KL35	Asia	#1f78b4
ESC_MC7657AA_AS	2010-2014	#1f78b4	other	#afafaf			#904f02	KL158	Asia	#1f78b4
ESC_MC7677AA_AS	2010-2014	#1f78b4	other	#afafaf			#ffe119	KL5	Asia	#1f78b4
ESC_MC7723AA_AS	2010-2014	#1f78b4	other	#afafaf			#904f02	KL158	Asia	#1f78b4
ESC_MC7773AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_MC7929AA_AS	2015-2019	#fdae61	other	#afafaf			#afafaf	Unassigned	Asia	#1f78b4
ESC_MC7959AA_AS	2015-2019	#fdae61	other	#afafaf			#3dfc7d	KL30	Asia	#1f78b4
ESC_MC7991AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC8018AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8070AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8073AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_MC8279AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8280AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC8314AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8359AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8366AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#afafaf	KL125	North America	#33a02c
ESC_MC8402AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_MC8892AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8898AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8899AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8998AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC8999AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#904f02	KL158	North America	#33a02c
ESC_NC4356AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#E31A1C	KL57	Africa	#b2df8a
ESC_NC4357AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#FF7F00	KL35	Africa	#b2df8a
ESC_NC4365AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Africa	#b2df8a
ESC_NC4369AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Africa	#b2df8a
ESC_MC9340AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_MC9342AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC0022AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC0023AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0026AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC0031AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0078AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#904f02	KL158	North America	#33a02c
ESC_NC0083AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0184AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0185AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0186AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0188AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC0950AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NC1368AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_NC1396AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_NC1399AA_AS	2015-2019	#fdae61	other	#afafaf	Human	#fdc086	#4695f0	KL103	Asia	#1f78b4
ESC_NC1405AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#FF7F00	KL35	Asia	#1f78b4
ESC_NC1566AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC1567AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC1598AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#29c722	KL127	North America	#33a02c
ESC_NC1654AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#0835fd	KL53	North America	#33a02c
ESC_NC1655AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#29c722	KL127	North America	#33a02c
ESC_NC1656AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#0835fd	KL53	North America	#33a02c
ESC_NC1702AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC1703AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC1704AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC1750AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC2131AA_AS	2020-2024	#d73027	other	#afafaf			#abf186	KL14	NA	NA
ESC_NC2192AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#4695f0	KL103	North America	#33a02c
ESC_NC2222AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#E31A1C	KL57	North America	#33a02c
ESC_NC2470AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC2471AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC2473AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2580AA_AS	2020-2024	#d73027	other	#afafaf	Animal	#7fc97f	#afafaf	Unassigned	North America	#33a02c
ESC_NC2667AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2742AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2748AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC2752AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2756AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC2758AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2759AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2763AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC2792AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC2793AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC2905AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC2919AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_NC2920AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL125	Asia	#1f78b4
ESC_NC2921AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_NC2928AA_AS	2010-2014	#1f78b4	other	#afafaf	Human	#fdc086	#afafaf	KL125	Asia	#1f78b4
ESC_NC8731AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#3dfc7d	KL30	Asia	#1f78b4
ESC_NC8732AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC8733AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC3353AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC3542AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3543AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3544AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_OC0316AA_AS	2020-2024	#d73027	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_OC0330AA_AS	2020-2024	#d73027	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_OC0344AA_AS	2020-2024	#d73027	other	#afafaf			black	KL124	Africa	#b2df8a
ESC_OC0356AA_AS	2020-2024	#d73027	other	#afafaf			#ffe119	KL5	Africa	#b2df8a
ESC_OC0367AA_AS	2020-2024	#d73027	other	#afafaf			#E31A1C	KL57	Africa	#b2df8a
ESC_OC0380AA_AS	2020-2024	#d73027	other	#afafaf			#d66384	KL101	Africa	#b2df8a
ESC_OC0386AA_AS	2020-2024	#d73027	other	#afafaf			#4695f0	KL103	Africa	#b2df8a
ESC_NC3851AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3882AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_NC3946AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3947AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3950AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC3951AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4002AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4027AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4042AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_NC4061AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#4695f0	KL103	Europe	#a6cee3
ESC_NC4080AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#abf186	KL14	Europe	#a6cee3
ESC_NC4081AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NC4085AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_NC4088AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#E31A1C	KL57	Europe	#a6cee3
ESC_NC4089AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_NC4094AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	Europe	#a6cee3
ESC_NC4096AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	Europe	#a6cee3
ESC_NC4104AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	Europe	#a6cee3
ESC_OC0552AA_AS	2020-2024	#d73027	other	#afafaf			#6A3D9A	KL20	Africa	#b2df8a
ESC_NC4162AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4163AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC4545AA_AS	NA	white	other	#afafaf			#FF7F00	KL35	NA	NA
ESC_NC4636AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4641AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC4687AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC4716AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_NC4735AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_NC4858AA_AS	NA	white	other	#afafaf			#FF7F00	KL35	NA	NA
ESC_NC4894AA_AS	NA	white	other	#afafaf			#FF7F00	KL35	NA	NA
ESC_NC4920AA_AS	NA	white	other	#afafaf			#3dfc7d	KL30	NA	NA
ESC_NC4940AA_AS	NA	white	other	#afafaf			#6A3D9A	KL20	NA	NA
ESC_NC5936AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	KL16	Asia	#1f78b4
ESC_NC5998AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC5999AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC6000AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC6001AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC6049AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC6068AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC6070AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#3dfc7d	KL30	North America	#33a02c
ESC_NC6237AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC6284AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#CAB2D6	KL123	North America	#33a02c
ESC_NC6300AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC6302AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC6984AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC7071AA_AS	2020-2024	#d73027	other	#afafaf			#FF7F00	KL35	Asia	#1f78b4
ESC_NC7816AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#afafaf	Unassigned	NA	NA
ESC_NC7983AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	#d37505	KL114	North America	#33a02c
ESC_NC7984AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC8210AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC8214AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC8215AA_AS	2020-2024	#d73027	rectal	#bf812d	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC8381AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#6A3D9A	KL20	North America	#33a02c
ESC_NC8713AA_AS	2020-2024	#d73027	other	#afafaf	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC9138AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	#afafaf	Unassigned	North America	#33a02c
ESC_NC9322AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC9439AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC9448AA_AS	2020-2024	#d73027	blood	red	Human	#fdc086	black	KL124	North America	#33a02c
ESC_NC9450AA_AS	2020-2024	#d73027	UTI/urine	#ffff33	Human	#fdc086	black	KL124	North America	#33a02c
