Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
ESC_UA5992AA_AS	KL125	unknown (KL125)	Good	?*	100.00%	90.92%	n/a	18 / 18 (100%)	KL125_01_galF,99.331%;KL125_02_cpsACP,97.619%;KL125_03_wzi,96.667%;KL125_04_wza,97.625%;KL125_05_wzb,93.706%;KL125_06_wzc,95.961%;KL125_07_wbaP,92.857%;KL125_08_wcaN,89.583%;KL125_09_wzy,92.908%;KL125_10,86.723%;KL125_11,91.481%;KL125_12_wcaG,92.727%;KL125_13_wcuH,91.912%;KL125_14_wzx,91.525%;KL125_15,86.57%;KL125_16,85.271%;KL125_17_gnd,97.228%;KL125_18_ugd,99.743%		0		0 / 18 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UA6147AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UA6148AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UA6180AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.20%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.307%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UA6369AA_AS	KL48	K48	High	-	100.00%	98.86%	-2 bp	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_15_wcqE	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UA6678AA_AS	KL124	unknown (KL124)	Good	-	98.82%	97.21%	+400 bp	20 / 22 (90.9%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_17_wclK	0		0 / 22 (0%)		1	KL131_09_rmlB,80.226%
ESC_UA6991AA_AS	KL14	K14	Good	?-*	97.58%	90.82%	n/a	22 / 25 (88%)	KL14_01_galF,98.997%;KL14_02_cpsACP,98.095%;KL14_03_wzi,97.03%;KL14_04_wza,98.945%;KL14_05_wzb,96.552%;KL14_06_wzc,97.241%;KL14_07,89.655%;KL14_08_wzx,90.57%;KL14_10,84.756%;KL14_11,92.04%;KL14_12,90.343%;KL14_14,90.809%;KL14_15,94.005%;KL14_17_wcaJ,95.494%;KL14_18_gnd,99.787%;KL14_19_manC,99.153%;KL14_20_manB,98.929%;KL14_21_rmlB,99.437%;KL14_22_rmlA,97.917%;KL14_23_rmlD,98.99%;KL14_24_rmlC,97.297%;KL14_25_ugd,99.229%	KL14_09;KL14_13;KL14_16	0		0 / 25 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB1016AA_AS	KL124	unknown (KL124)	None	?-+	87.07%	95.53%	n/a	15 / 22 (68.2%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%	KL124_02_cpsACP;KL124_17_wclK;KL124_18_rmlB;KL124_19_rmlA;KL124_20_rmlD;KL124_21_rmlC;KL124_22_ugd	1	KL131_09_rmlB,80.226%	0 / 22 (0%)		1	KL156-D1_01_galF,93.624%
ESC_UB1017AA_AS	KL124	unknown (KL124)	None	?-+	87.07%	95.53%	n/a	15 / 22 (68.2%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_09_wcuP,99.315%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_13_wcuA,98.818%;KL124_14_wcaL,99.022%;KL124_15_wzx,99.548%;KL124_16_gnd,100.0%	KL124_02_cpsACP;KL124_17_wclK;KL124_18_rmlB;KL124_19_rmlA;KL124_20_rmlD;KL124_21_rmlC;KL124_22_ugd	1	KL131_09_rmlB,80.226%	0 / 22 (0%)		1	KL156-D1_01_galF,93.624%
ESC_UB2470AA_AS	KL30	K30	Good	?*	98.41%	95.87%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.309%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UB2516AA_AS	KL31	K31	Good	?-	96.50%	99.00%	n/a	19 / 20 (95%)	KL31_01_galF,98.328%;KL31_03_wzi,98.614%;KL31_04_wza,100.0%;KL31_05_wzb,99.315%;KL31_06_wzc,99.723%;KL31_07_wctG,99.44%;KL31_08_wcuP,99.288%;KL31_09_wzy,99.455%;KL31_10_wcuC,99.707%;KL31_11_wbaZ,99.743%;KL31_12_wcaJ,99.579%;KL31_13_wctH,99.357%;KL31_14_wctI,99.349%;KL31_15_wzx,100.0%;KL31_16_wcuJ,100.0%;KL31_17_gnd,99.787%;KL31_18_manC,99.153%;KL31_19_manB,98.906%;KL31_20_ugd,99.743%	KL31_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB2526AA_AS	KL14	K14	Good	?-*	99.12%	90.71%	n/a	24 / 25 (96%)	KL14_01_galF,98.997%;KL14_02_cpsACP,98.095%;KL14_03_wzi,97.03%;KL14_04_wza,98.945%;KL14_05_wzb,96.552%;KL14_06_wzc,97.241%;KL14_07,89.655%;KL14_08_wzx,90.57%;KL14_09,89.347%;KL14_10,84.756%;KL14_11,92.04%;KL14_12,90.654%;KL14_14,90.809%;KL14_15,94.005%;KL14_16,88.047%;KL14_17_wcaJ,95.494%;KL14_18_gnd,99.787%;KL14_19_manC,99.153%;KL14_20_manB,98.929%;KL14_21_rmlB,99.437%;KL14_22_rmlA,97.917%;KL14_23_rmlD,98.99%;KL14_24_rmlC,97.297%;KL14_25_ugd,99.229%	KL14_13	0		0 / 25 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB3833AA_AS	KL57	K57	Good	?-	99.51%	96.44%	n/a	17 / 18 (94.4%)	KL57_01_galF,98.662%;KL57_03_wzi,96.25%;KL57_04_wza,97.619%;KL57_05_wzb,100.0%;KL57_06_wzc,96.671%;KL57_07_wcaJ,96.436%;KL57_08_wzx,97.951%;KL57_09_wckX,100.0%;KL57_10_wckW,99.452%;KL57_11_wzy,98.473%;KL57_12,100.0%;KL57_13_vanT,98.471%;KL57_14_wbaZ,99.479%;KL57_15_gnd,99.36%;KL57_16_manC,96.186%;KL57_17_manB,98.031%;KL57_18_ugd,99.486%	KL57_02_cpsACP	0		0 / 18 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB4111AA_AS	KL5	K5	Good	?*	100.00%	98.65%	n/a	19 / 19 (100%)	KL5_01_galF,98.328%;KL5_02_cpsACP,91.429%;KL5_03_wzi,99.604%;KL5_04_wza,99.735%;KL5_05_wzb,99.31%;KL5_06_wzc,99.17%;KL5_07,99.01%;KL5_08_wzx,99.584%;KL5_09,99.213%;KL5_10,99.649%;KL5_11,99.454%;KL5_12,99.394%;KL5_13,100.0%;KL5_14,100.0%;KL5_15_wcaJ,99.573%;KL5_16_gnd,100.0%;KL5_17_manC,97.881%;KL5_18_manB,99.344%;KL5_19_ugd,99.743%		0		0 / 19 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB4121AA_AS	KL57	K57	Good	?-*	100.00%	96.47%	n/a	17 / 18 (94.4%)	KL57_01_galF,98.328%;KL57_02_cpsACP,94.286%;KL57_03_wzi,96.25%;KL57_04_wza,97.884%;KL57_05_wzb,100.0%;KL57_06_wzc,96.671%;KL57_07_wcaJ,96.226%;KL57_08_wzx,97.951%;KL57_09_wckX,99.735%;KL57_10_wckW,99.452%;KL57_11_wzy,98.473%;KL57_12,99.529%;KL57_14_wbaZ,99.479%;KL57_15_gnd,99.36%;KL57_16_manC,99.788%;KL57_17_manB,99.344%;KL57_18_ugd,99.229%	KL57_13_vanT	0		0 / 18 (0%)		3	KL150_19_gmd,98.209%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB4126AA_AS	KL30	K30	Good	?*	98.41%	95.86%	n/a	20 / 20 (100%)	KL30_01_galF,99.331%;KL30_02_cpsACP,92.381%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.009%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		2	KL36_09_rmlB,80.057%;KL156-D1_01_galF,93.624%
ESC_UB4709AA_AS	KL107	unknown (KL107)	None	?-+*	76.08%	89.17%	n/a	10 / 16 (62.5%)	KL107_01_galF,98.662%;KL107_02_cpsACP,92.857%;KL107_03_wzi,97.699%;KL107_04_wza,96.809%;KL107_11_gnd,99.147%;KL107_12,99.437%;KL107_13,98.264%;KL107_14,98.99%;KL107_15,98.378%;KL107_16_ugd,99.486%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	2	KL158_07_wcaA,99.67%;KL158_05_wzb,99.315%	0 / 16 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB6611AA_AS	KL124	unknown (KL124)	None	?-	97.14%	97.21%	n/a	16 / 22 (72.7%)	KL124_01_galF,98.997%;KL124_03_wzi,97.908%;KL124_04_wza,99.472%;KL124_05_wzb,99.31%;KL124_06_wzc,99.446%;KL124_07_wbaP,99.581%;KL124_08_wctK,99.342%;KL124_10_wclJ,97.491%;KL124_11_wzy,98.966%;KL124_12,98.309%;KL124_16_gnd,100.0%;KL124_18_rmlB,99.437%;KL124_19_rmlA,97.569%;KL124_20_rmlD,99.327%;KL124_21_rmlC,97.838%;KL124_22_ugd,100.0%	KL124_02_cpsACP;KL124_09_wcuP;KL124_13_wcuA;KL124_14_wcaL;KL124_15_wzx;KL124_17_wclK	0		0 / 22 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_UB6618AA_AS	KL107	unknown (KL107)	None	?-+*	70.16%	82.84%	n/a	6 / 16 (37.5%)	KL107_01_galF,98.662%;KL107_02_cpsACP,93.333%;KL107_03_wzi,97.699%;KL107_04_wza,96.011%;KL107_11_gnd,97.655%;KL107_16_ugd,99.486%	KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10;KL107_12;KL107_13;KL107_14;KL107_15	3	KL125_06_wzc,95.822%;KL131_09_rmlB,80.226%;KL125_05_wzb,93.706%	0 / 16 (0%)		2	KL125_08_wcaN,89.583%;KL156-D1_01_galF,93.624%
ESC_VA1994AA_AS	KL30	K30	Good	-*	95.88%	95.89%	+2775 bp	19 / 20 (95%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2013AA_AS	KL48	K48	High	-	100.00%	98.86%	-2 bp	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_11_wcqD	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2041AA_AS	KL30	K30	Good	-*	95.88%	95.89%	+3552 bp	18 / 20 (90%)	KL30_01_galF,98.662%;KL30_03_wzi,96.436%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.171%;KL30_07_wcuL,99.369%;KL30_08_wzx,100.0%;KL30_09_wcuD,96.364%;KL30_10_wzy,92.237%;KL30_11_wckP,92.011%;KL30_12_wckO,93.59%;KL30_13_wckN,91.797%;KL30_14,93.816%;KL30_15_wcuG,81.127%;KL30_17_gnd,99.147%;KL30_18_manC,99.153%;KL30_19_manB,99.574%;KL30_20_ugd,99.743%	KL30_02_cpsACP;KL30_16_wcaJ	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2223AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2236AA_AS	KL48	K48	High	-	100.00%	98.84%	-2 bp	20 / 21 (95.2%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,99.787%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,99.549%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,99.743%	KL48_15_wcqE	0		0 / 21 (0%)		2	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%
ESC_VA2241AA_AS	KL48	K48	High	-	100.00%	98.85%	-2 bp	20 / 21 (95.2%)	KL48_01_galF,98.997%;KL48_02_cpsACP,99.048%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%	KL48_03_wzi	0		0 / 21 (0%)		3	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2263AA_AS	KL127	unknown (KL127)	Good	-+*	98.58%	94.79%	+1953 bp	17 / 19 (89.5%)	KL127_02_cpsACP,93.333%;KL127_03_wzi,96.042%;KL127_04_wza,98.417%;KL127_05_wzb,97.241%;KL127_06_wzc,95.856%;KL127_07_wbaP,94.538%;KL127_08_wctK,95.484%;KL127_09_wzy,94.145%;KL127_10,91.4%;KL127_11,94.054%;KL127_12_wcpJ,95.225%;KL127_14_gnd,97.441%;KL127_15_rmlB,97.183%;KL127_16_rmlA,98.276%;KL127_17_rmlD,98.99%;KL127_18_rmlC,96.216%;KL127_19_ugd,95.887%	KL127_13	1	KL160_01_galF,87.222%	1 / 19 (5.3%)	KL127_01_galF,90.541%	1	KL131_09_rmlB,80.226%
ESC_VA2267AA_AS	KL54	K54	Good	*	98.50%	94.27%	+401 bp	20 / 20 (100%)	KL54_01_galF,98.328%;KL54_02_cpsACP,91.905%;KL54_03_wzi,98.333%;KL54_04_wza,96.561%;KL54_05_wzb,96.552%;KL54_06_wzc,96.792%;KL54_07_wclU,94.574%;KL54_08_wzx,95.343%;KL54_09_wzy,96.122%;KL54_10_wckB,97.222%;KL54_11_wcoS,95.765%;KL54_12_gmd,99.196%;KL54_13_wcaG,95.975%;KL54_14_wcaH,93.421%;KL54_15_wcaI,92.06%;KL54_16_wcaJ,99.145%;KL54_17_gnd,99.574%;KL54_18_manC,97.034%;KL54_19_manB,98.687%;KL54_20_ugd,99.743%		0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2268AA_AS	KL127	unknown (KL127)	Good	-+*	98.58%	94.79%	+1953 bp	17 / 19 (89.5%)	KL127_02_cpsACP,93.333%;KL127_03_wzi,96.042%;KL127_04_wza,98.417%;KL127_05_wzb,97.241%;KL127_06_wzc,95.856%;KL127_07_wbaP,94.538%;KL127_08_wctK,95.484%;KL127_09_wzy,94.145%;KL127_10,91.4%;KL127_11,94.054%;KL127_12_wcpJ,95.225%;KL127_14_gnd,97.441%;KL127_15_rmlB,97.183%;KL127_16_rmlA,98.276%;KL127_17_rmlD,98.99%;KL127_18_rmlC,96.216%;KL127_19_ugd,95.887%	KL127_13	1	KL160_01_galF,87.222%	1 / 19 (5.3%)	KL127_01_galF,90.541%	1	KL131_09_rmlB,80.226%
ESC_VA2270AA_AS	KL54	K54	Good	-*	98.50%	94.26%	+399 bp	19 / 20 (95%)	KL54_01_galF,98.328%;KL54_02_cpsACP,91.905%;KL54_03_wzi,98.333%;KL54_04_wza,96.561%;KL54_05_wzb,96.552%;KL54_06_wzc,96.653%;KL54_07_wclU,94.574%;KL54_08_wzx,95.343%;KL54_09_wzy,96.122%;KL54_11_wcoS,95.765%;KL54_12_gmd,99.196%;KL54_13_wcaG,95.975%;KL54_14_wcaH,93.421%;KL54_15_wcaI,92.06%;KL54_16_wcaJ,98.845%;KL54_17_gnd,99.574%;KL54_18_manC,97.034%;KL54_19_manB,98.687%;KL54_20_ugd,99.743%	KL54_10_wckB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2299AA_AS	KL48	K48	Very high		100.00%	98.86%	-1 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,99.048%;KL48_03_wzi,99.791%;KL48_04_wza,99.471%;KL48_05_wzb,100.0%;KL48_06_wzc,99.722%;KL48_07_wcaA,99.67%;KL48_08_wcaJ,100.0%;KL48_09_wclL,99.265%;KL48_10_wzy,100.0%;KL48_11_wcqD,99.627%;KL48_12_wckU,100.0%;KL48_13,100.0%;KL48_14_wzx,100.0%;KL48_15_wcqE,99.387%;KL48_16_gnd,100.0%;KL48_17_rmlB,100.0%;KL48_18_rmlA,99.655%;KL48_19_rmlD,100.0%;KL48_20_rmlC,99.459%;KL48_21_ugd,100.0%		0		0 / 21 (0%)		2	KL150_19_gmd,85.285%;KL131_09_rmlB,80.226%
ESC_VA2359AA_AS	KL125	unknown (KL125)	Good	?-*	100.00%	90.93%	n/a	17 / 18 (94.4%)	KL125_01_galF,99.331%;KL125_02_cpsACP,97.619%;KL125_03_wzi,96.667%;KL125_04_wza,97.625%;KL125_05_wzb,93.706%;KL125_06_wzc,96.1%;KL125_07_wbaP,93.067%;KL125_09_wzy,92.671%;KL125_10,86.723%;KL125_11,91.481%;KL125_12_wcaG,92.727%;KL125_13_wcuH,91.912%;KL125_14_wzx,91.525%;KL125_15,86.57%;KL125_16,85.271%;KL125_17_gnd,97.228%;KL125_18_ugd,99.743%	KL125_08_wcaN	0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2362AA_AS	KL125	unknown (KL125)	High	*	100.00%	90.93%	+764 bp	18 / 18 (100%)	KL125_01_galF,99.331%;KL125_02_cpsACP,97.619%;KL125_03_wzi,96.667%;KL125_04_wza,97.625%;KL125_05_wzb,93.706%;KL125_06_wzc,96.1%;KL125_07_wbaP,93.067%;KL125_08_wcaN,89.583%;KL125_09_wzy,92.908%;KL125_10,86.723%;KL125_11,91.481%;KL125_12_wcaG,92.727%;KL125_13_wcuH,91.912%;KL125_14_wzx,91.525%;KL125_15,86.57%;KL125_16,85.271%;KL125_17_gnd,97.228%;KL125_18_ugd,99.743%		0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2364AA_AS	KL103	unknown (KL103)	Very high		100.00%	98.70%	+2 bp	21 / 21 (100%)	KL103_01_galF,99.331%;KL103_02_cpsACP,98.095%;KL103_03_wzi,98.954%;KL103_04_wza,99.737%;KL103_05_wzb,100.0%;KL103_06_wzc,99.722%;KL103_07_wbaP,99.791%;KL103_08_wcaA,99.342%;KL103_09,100.0%;KL103_10,99.788%;KL103_11_wcaN,100.0%;KL103_12_wzy,100.0%;KL103_13_wcpL,99.2%;KL103_14_wcuT,98.917%;KL103_15_wzx,100.0%;KL103_16_gnd,99.36%;KL103_17_rmlB,100.0%;KL103_18_rmlA,99.655%;KL103_19_rmlD,99.663%;KL103_20_rmlC,100.0%;KL103_21_ugd,99.743%		0		0 / 21 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
ESC_VA2366AA_AS	KL125	unknown (KL125)	High	*	100.00%	90.93%	+764 bp	18 / 18 (100%)	KL125_01_galF,99.331%;KL125_02_cpsACP,97.619%;KL125_03_wzi,96.667%;KL125_04_wza,97.625%;KL125_05_wzb,93.706%;KL125_06_wzc,95.961%;KL125_07_wbaP,93.067%;KL125_08_wcaN,89.583%;KL125_09_wzy,92.908%;KL125_10,86.723%;KL125_11,91.481%;KL125_12_wcaG,92.727%;KL125_13_wcuH,91.912%;KL125_14_wzx,91.525%;KL125_15,86.57%;KL125_16,85.271%;KL125_17_gnd,97.228%;KL125_18_ugd,99.743%		0		0 / 18 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
